	
🗼央视,#genre#
CCTV1,http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV1,http://222.175.159.226:808/hls/1/index.m3u8
CCTV1,http://aliyun4a-live.bestvcdn.com.cn/live/program/Dbestvapp-mobile-v4.live.bestvcdn.com.cnD/_zlssudgb_keyAEF53DC96ACA3ACFD9ED1E8F80E0EEE87DC3195053AA3698F29AA92B24F93279A4488B6E66DA8F589E20B39C3938A3D5876BA55B221092FA3F478D77BDDAB347B3C144EC567F488FBE97F881133EE32FAA51497370CD9A9C575A1FD570ABA01ED0995838A0E3B26A3EB17F35001A002D_/live/cctv1hd/4000000/d1.m3u8
CCTV1,http://39.134.32.108:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://111.13.42.234/PLTV/88888888/224/3221226338/1.m3u8
CCTV1,http://111.13.42.235/PLTV/88888888/224/3221226346/1.m3u8
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://117.169.120.242:8080/wh7f454c46tw1490432856_1716888660/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8?icpid=88888888&RTS=1663085841&from=79102&ocs=2_117.169.120.136_8080&hms_devid=1403&online=1663085841&vqe=3
CCTV1,http://125.40.191.58:9901/tsfile/live/0001_1.m3u8

CCTV2,http://39.134.32.102:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT
CCTV2,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://222.175.159.226:808/hls/2/index.m3u8
CCTV2,http://39.134.32.102:6610/270000001111/1110000302/index.m3u8?ASHttpSessionId=OTT
CCTV2,http://39.134.32.103:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT
CCTV2,http://39.134.32.108:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT
CCTV2,http://111.13.42.235/PLTV/88888888/224/3221226472/1.m3u8
CCTV2,http://111.13.42.229/PLTV/88888888/224/3221226230/1.m3u8
CCTV2,http://125.40.191.58:9901/tsfile/live/0002_1.m3u8

CCTV3,http://222.175.159.226:808/hls/3/index.m3u8
CCTV3,http://aliyun4a-live.bestvcdn.com.cn/live/program/Dbestvapp-mobile-v4.live.bestvcdn.com.cnD/_ebonljgm_key94D8F4EB160D3820B950AE6152C52ABAF222BE3C545BD432585F6A0594C0B74E1BBE4354CACB107E2AB102633FF91FC6354E122786C91E81E8032EAD92F7A8F25BBF550076B6F94E0014B6EC5621D76E3CD303666DFE4190249790171FE880B37AF4DC9D441A9254AC6F3D86293B98E9_/live/cctv3hd/4000000/d1.m3u8
CCTV3,http://39.134.32.102:6610/270000001111/1110000303/index.m3u8?IASHttpSessionId=OTT
CCTV3,http://39.134.32.108:6610/270000001111/1110000303/index.m3u8?IASHttpSessionId=OTT
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV3,http://125.40.191.58:9901/tsfile/live/0009_1.m3u8

CCTV4,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://39.135.138.59:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV4,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8

CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8

CCTV5,http://39.134.32.102:6610/270000001111/1110000305/index.m3u8?IASHttpSessionId=OTT
CCTV5,http://222.175.159.226:808/hls/5/index.m3u8
CCTV5,http://39.134.32.108:6610/270000001111/1110000305/index.m3u8?IASHttpSessionId=OTT
CCTV5,http://111.13.42.229/PLTV/88888888/224/3221226469/1.m3u8
CCTV5,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8
CCTV5,http://125.40.191.58:9901/tsfile/live/0005_1.m3u8

CCTV5+,http://222.175.159.226:808/hls/6/index.m3u8
CCTV5+,http://39.134.32.103:6610/270000001111/1110000306/index.m3u8?IASHttpSessionId=OTT
CCTV5+,http://39.134.32.108:6610/270000001111/1110000306/index.m3u8?IASHttpSessionId=OTT
CCTV5+,http://39.134.32.102:6610/270000001111/1110000306/index.m3u8?IASHttpSessionId=OTT
CCTV5+,http://111.13.42.235/PLTV/88888888/224/3221226349/1.m3u8
CCTV5+,http://111.13.42.230/PLTV/88888888/224/3221226458/1.m3u8

CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://222.175.159.226:808/hls/7/index.m3u8
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://39.134.32.102:6610/270000001111/1110000307/index.m3u8?IASHttpSessionId=OTT
CCTV6,http://39.134.32.108:6610/270000001111/1110000307/index.m3u8?IASHttpSessionId=OTT
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://125.40.191.58:9901/tsfile/live/0007_1.m3u8

CCTV7,http://39.134.115.163:8080/TVOD/88888910/224/3221225644/index.m3u8
CCTV7,http://222.175.159.226:808/hls/8/index.m3u8
CCTV7,http://39.134.67.110/PLTV/88888888/224/3221225671/index.m3u8
CCTV7,http://111.13.42.230/PLTV/88888888/224/3221226467/1.m3u8
CCTV7,http://39.135.138.58:18890/PLTV/88888888/224/3221225624/index.m3u8
CCTV7,http://125.40.191.58:9901/tsfile/live/1006_1.m3u8

CCTV8,http://222.175.159.226:808/hls/9/index.m3u8
CCTV8,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV8,http://39.134.32.102:6610/270000001111/1110000309/index.m3u8?IASHttpSessionId=OTT
CCTV8,http://39.134.32.108:6610/270000001111/1110000309/index.m3u8?IASHttpSessionId=OTT
CCTV8,http://125.40.191.58:9901/tsfile/live/1007_1.m3u8

CCTV9,http://222.175.159.226:808/hls/10/index.m3u8
CCTV9,http://39.135.138.60:18890/PLTV/88888910/224/3221225646/index.m3u8
CCTV9,http://111.13.42.229/PLTV/88888888/224/3221226236/1.m3u8
CCTV9,http://111.13.42.235/PLTV/88888888/224/3221226465/1.m3u8
CCTV9,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8
CCTV9,http://39.135.138.58:18890/PLTV/88888888/224/3221225626/index.m3u8

CCTV10,http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8
CCTV10,http://222.175.159.226:808/hls/11/index.m3u8
CCTV10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8
CCTV10,http://125.40.191.58:9901/tsfile/live/0010_1.m3u8
CCTV10,http://111.13.42.230/PLTV/88888888/224/3221226937/1.m3u8

CCTV11,http://39.135.138.58:18890/PLTV/88888888/224/3221225628/index.m3u8
CCTV11,http://222.175.159.226:808/hls/12/index.m3u8
CCTV11,http://1.195.111.251:11190/tsfile/live/0011_1.m3u8
CCTV11,http://111.13.42.235/PLTV/88888888/224/3221226463/1.m3u8
CCTV11,http://125.40.191.58:9901/tsfile/live/0011_1.m3u8

CCTV12,http://222.175.159.226:808/hls/13/index.m3u8
CCTV12,http://39.134.67.110/PLTV/88888888/224/3221225669/index.m3u8
CCTV12,http://1.195.111.251:11190/tsfile/live/0012_1.m3u8
CCTV12,http://125.40.191.58:9901/tsfile/live/0012_1.m3u8
CCTV12,http://39.135.138.58:18890/PLTV/88888888/224/3221225629/index.m3u8
CCTV12,http://39.134.115.163:8080/TVOD/88888910/224/3221225628/index.m3u8

CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV13,http://39.135.138.58:18890/PLTV/88888888/224/3221225638/index.m3u8
CCTV13,http://222.175.159.226:808/hls/14/index.m3u8
CCTV13,http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV13,http://111.13.42.234/PLTV/88888888/224/3221226316/1.m3u8

CCTV14,http://39.135.138.58:18890/PLTV/88888888/224/3221225639/index.m3u8
CCTV14,http://222.175.159.226:808/hls/15/index.m3u8
CCTV14,http://123.6.9.146/live/jz-cctv-14/live.m3u8
CCTV14,http://125.40.191.58:9901/tsfile/live/0014_1.m3u8

CCTV15,http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV15,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV15,http://111.13.42.235/PLTV/88888888/224/3221226333/1.m3u8
CCTV15,http://111.13.42.234/PLTV/88888888/224/3221226460/1.m3u8
CCTV15,http://125.40.191.58:9901/tsfile/live/0015_1.m3u8

CCTV16,http://39.135.138.58:18890/PLTV/88888888/224/3221226233/index.m3u8
CCTV16,http://39.134.67.110/PLTV/88888888/224/3221225513/index.m3u8
CCTV16,http://39.135.138.58:18890/TVOD/88888910/224/3221226230/index.m3u8
CCTV16,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8

CCTV17,http://39.135.138.58:18890/PLTV/88888888/224/3221225907/index.m3u8
CCTV17,http://222.175.159.226:808/hls/18/index.m3u8
CCTV17,http://39.134.67.110/PLTV/88888888/224/3221225708/index.m3u8
CCTV17,http://39.134.32.102:6610/270000001111/1110000391/index.m3u8?IASHttpSessionId=OTT
CCTV17,http://111.13.42.235/PLTV/88888888/224/3221226318/1.m3u8
CCTV17,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8

CETV1,https://txycsbl.centv.cn/zb/0628cetv1.m3u8
CETV1,http://183.207.255.188/live/program/live/zgjy1ott/1300000/mnf.m3u8

CCTV第一剧场,http://218.17.216.102:9901/tsfile/live/1072_1.m3u8

